time_step,prior_use_ratio
0,89.58
97244,87.5
100385,85.42
100573,83.33
100653,81.25
100657,79.17
100797,77.08
102291,75.0
102304,72.92
102417,70.83
102456,68.75
103274,66.67
103398,64.58
104123,62.5
104143,60.42
104504,58.33
104556,56.25
104955,54.17
105003,52.08
105020,50.0
105112,47.92
105114,45.83
106256,43.75
106484,43.75
106612,43.75
106677,43.75
106739,43.75
106746,43.75
106753,41.67
106783,39.58
107467,37.5
107753,35.42
107842,33.33
107939,31.25
108017,29.17
108217,27.08
108238,25.0
108291,22.92
108435,20.83
108644,18.75
108672,16.67
108718,14.58
108733,12.5
108773,10.42
108910,8.33
108919,6.25
108962,4.17
108978,2.08
109021,0.0
0,91.67
99894,89.58
99913,87.5
100027,85.42
100645,83.33
101044,81.25
103110,79.17
103127,77.08
103128,75.0
103446,72.92
103461,70.83
103563,68.75
103735,66.67
103820,64.58
103898,62.5
104418,60.42
105670,58.33
105711,56.25
106348,54.17
106588,52.08
106709,50.0
106868,50.0
106882,50.0
106894,50.0
106955,47.92
107085,47.92
107473,45.83
107672,43.75
107684,41.67
107904,39.58
108036,37.5
108213,35.42
108223,33.33
108227,31.25
108293,29.17
108373,27.08
108422,25.0
108522,22.92
108596,20.83
108601,18.75
108639,16.67
108679,14.58
108817,12.5
108833,10.42
108889,8.33
108984,6.25
109012,4.17
109059,2.08
109104,0.0
0,91.67
101230,89.58
103543,87.5
103848,85.42
103888,83.33
104283,81.25
105217,79.17
105447,77.08
106126,75.0
106284,72.92
106286,70.83
106349,68.75
106425,66.67
106430,64.58
106440,62.5
106523,60.42
106713,58.33
106740,56.25
107020,54.17
107124,52.08
107550,50.0
107692,47.92
107868,45.83
107877,43.75
107967,41.67
108142,39.58
108146,39.58
108157,37.5
108162,35.42
108302,33.33
108338,31.25
108358,29.17
108483,27.08
108577,25.0
108604,22.92
108618,20.83
108688,18.75
108717,16.67
108760,14.58
108795,12.5
108797,10.42
108881,8.33
108885,6.25
108929,4.17
108957,2.08
109008,0.0
109060,0.0
109151,0.0
109154,0.0
