task_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,0.04966683738781686,0.037309816476337174,0.06202385829929655
1,0.05494895139113946,0.040763447333971484,0.06913445544830743
2,0.05223277038942343,0.03785004389889894,0.06661549687994792
3,0.04517033358552424,0.03183466686424899,0.05850600030679949
4,0.053181495607156695,0.03803874925209101,0.06832424196222238
5,0.04668743468727492,0.03448940039200915,0.058885468982540684
6,0.047470164879569364,0.035081031402615925,0.0598592983565228
7,0.046221507759506675,0.03261383295886167,0.05982918256015168
8,0.046275178357792913,0.03223870110903507,0.06031165560655076
9,0.05984078182393573,0.04460774155784812,0.07507382209002333
10,0.04982567547718229,0.037351640507555114,0.06229971044680946
11,0.12890709997881444,0.11400582490509736,0.14380837505253152
12,0.1272787232056776,0.11155334683328016,0.14300409957807503
13,0.1264772031856701,0.11198877071296436,0.14096563565837586
14,0.10243337240843639,0.08831325760976134,0.11655348720711144
15,0.1231731933724536,0.1088826341547317,0.1374637525901755
16,0.12155588900856504,0.10743036131500708,0.135681416702123
17,0.12809270720287136,0.11268024608089851,0.14350516832484422
18,0.11974215348121506,0.1060258955354545,0.13345841142697562
19,0.13420814065542946,0.11925597620117925,0.14916030510967968
