task_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,0.1307607704581465,0.1003622578042501,0.1611592831120429
1,0.05599015083947255,0.04279916949787359,0.06918113218107151
2,0.10188628716977957,0.07146196754007537,0.13231060679948375
3,0.11737057246281095,0.08602260357137201,0.1487185413542499
4,0.05735292299557674,0.04186017365103615,0.07284567234011732
5,0.04315560980311865,0.03156925956272355,0.054741960043513754
6,0.05857168739231845,0.043573717062488776,0.07356965772214813
7,0.04736639873839045,0.034577981113684764,0.060154816363096136
8,0.14044411012754346,0.10579613287484144,0.17509208738024548
9,0.13290160306973411,0.10013435290371628,0.16566885323575195
10,0.12077415404870645,0.08879862780526213,0.15274968029215077
11,0.12004431688941626,0.0886952140320464,0.1513934197467861
12,0.11683004044967056,0.08578708158373369,0.14787299931560743
13,0.06589893723493187,0.04893388194621833,0.0828639925236454
14,0.0549885300862491,0.04074555998014872,0.06923150019234948
15,0.11314181299357612,0.08505104085740799,0.14123258512974424
16,0.1227571731000045,0.09068209260565746,0.15483225359435154
17,0.04922951952752702,0.0362439308218384,0.062215108233215646
18,0.04329725607579405,0.030776432071316223,0.05581808008027188
19,0.04463367197524873,0.032988011399916944,0.05627933255058051
