episode_number,average_return,average_return_lo,average_return_up
0,0.0,0.0,0.0
1,0.019724265341720854,-0.019913129807495208,0.05936166049093691
2,0.0,0.0,0.0
3,0.016818197544530965,-0.016979235729705677,0.050615630818767604
4,0.03363639508906193,-0.013670156989590385,0.08094294716771425
5,0.03420308294758938,-0.013904758593847398,0.08231092448902616
6,0.11889204204268797,0.03427874404691475,0.20350534003846119
7,0.1960010542037221,0.08959388199785223,0.302408226409592
8,0.08756374337837215,0.011978007575857458,0.16314947918088685
9,0.1924529242740273,0.08817133658766706,0.2967345119603875
10,0.3332017301952808,0.21057843681622826,0.4558250235743334
11,0.5473612390624065,0.42353089806699895,0.6711915800578141
12,0.8462409905385471,0.7936547064165224,0.8988272746605718
13,0.8799368335133845,0.8623019332620484,0.8975717337647205
14,0.8799368335133845,0.8623019332620484,0.8975717337647205
15,0.8799368335133845,0.8623019332620484,0.8975717337647205
16,0.8799368335133845,0.8623019332620484,0.8975717337647205
17,0.8799368335133845,0.8623019332620484,0.8975717337647205
18,0.8799368335133845,0.8623019332620484,0.8975717337647205
19,0.8799368335133845,0.8623019332620484,0.8975717337647205
20,0.8799368335133845,0.8623019332620484,0.8975717337647205
21,0.8799368335133845,0.8623019332620484,0.8975717337647205
22,0.8799368335133845,0.8623019332620484,0.8975717337647205
23,0.8799368335133845,0.8623019332620484,0.8975717337647205
24,0.8799368335133845,0.8623019332620484,0.8975717337647205
25,0.8799368335133845,0.8623019332620484,0.8975717337647205
26,0.8799368335133845,0.8623019332620484,0.8975717337647205
27,0.8799368335133845,0.8623019332620484,0.8975717337647205
28,0.8799368335133845,0.8623019332620484,0.8975717337647205
29,0.8799368335133845,0.8623019332620484,0.8975717337647205
30,0.8799368335133845,0.8623019332620484,0.8975717337647205
31,0.8799368335133845,0.8623019332620484,0.8975717337647205
32,0.8799368335133845,0.8623019332620484,0.8975717337647205
33,0.8799368335133845,0.8623019332620484,0.8975717337647205
34,0.8799368335133845,0.8623019332620484,0.8975717337647205
35,0.8799368335133845,0.8623019332620484,0.8975717337647205
36,0.8799368335133845,0.8623019332620484,0.8975717337647205
37,0.8799368335133845,0.8623019332620484,0.8975717337647205
38,0.8799368335133845,0.8623019332620484,0.8975717337647205
39,0.8799368335133845,0.8623019332620484,0.8975717337647205
40,0.8799368335133845,0.8623019332620484,0.8975717337647205
41,0.8799368335133845,0.8623019332620484,0.8975717337647205
42,0.8799368335133845,0.8623019332620484,0.8975717337647205
43,0.8799368335133845,0.8623019332620484,0.8975717337647205
44,0.8799368335133845,0.8623019332620484,0.8975717337647205
45,0.8799368335133845,0.8623019332620484,0.8975717337647205
46,0.8799368335133845,0.8623019332620484,0.8975717337647205
47,0.8799368335133845,0.8623019332620484,0.8975717337647205
48,0.8799368335133845,0.8623019332620484,0.8975717337647205
49,0.8799368335133845,0.8623019332620484,0.8975717337647205
